Set Code,Number,Finish,Count,Location,Order/Add Date,Price Per Card,Order Note,Name
EOC,82,N,1,3,46195,3.05,Mana Pool,"Braids, Arisen Nightmare"
EOC,15,N,1,3,46195,2.2,Mana Pool,Horizon Explorer
SOS,99,N,1,3,46195,0.45,Mana Pool,Scheming Silvertongue // Sign in Blood
FDN,112,N,1,3,46195,0.15,Mana Pool,Spinner of Souls
ECC,63,N,1,3,46195,0.48,Mana Pool,Vernal Fen
EOC,185,N,1,4,46236,1.31,Mana Pool,Sulfurous Springs
MH1,246,N,1,4,46236,5.48,Mana Pool,Silent Clearing
SOS,260,N,1,4,46236,1.4,Mana Pool,Shattered Sanctum
MH1,247,N,1,4,46236,3,Mana Pool,Sunbaked Canyon
MH3,35,N,1,4,46236,0.4,Mana Pool,Metastatic Evangel
RVR,380,N,1,4,46236,4.88,Mana Pool,Rhythm of the Wild
RAV,87,N,1,4,46236,0.49,Mana Pool,Golgari Thug
SOC,330,N,1,4,46236,0.35,Mana Pool,Shadrix Silverquill
OTJ,211,N,1,4,46236,4.51,Mana Pool,"Kambal, Profiteering Mayor"
M3C,279,N,1,4,46236,0.46,Mana Pool,"Ziatora, the Incinerator"
CNS,160,N,1,Box,44750,0.35,CS,Copperhorn Scout
STX,176,N,1,Box,44505,,Packs 1,Deadly Brew
RTR,164,N,1,Box,44544,0.75,CS,Golgari Charm
GRN,175,N,1,Box,44660,0.15,TCG,Golgari Findbroker
KHM,213,N,1,Box,44922,0.49,CS,Harald Unites the Elves
KHM,106,N,1,Box,45220,0.12,TCG,Return Upon the Tide
TMP,254,N,1,Box,45540,1.38,TCG,Seeker of Skybreak
AFC,171,N,1,Box,44660,0.49,CS,Shamanic Revelation
CMR,55,N,1,Box,44988,0.99,CS,Amphin Mutineer
CMR,214,N,1,Box,44646,,CMR 1,"Anara, Wolvid Familiar"
CMR,215,N,1,Box,44646,,CMR 1,Ancient Animus
CMR,56,N,3,Box,44646,,CMR 1,Aqueous Form
CMR,9,N,1,Box,44619,0.99,CK,Archon of Coronation
CMR,10,N,2,Box,44646,,CMR 1,"Ardenn, Intrepid Archaeologist"
CMR,270,N,1,Box,44646,,CMR 1,"Belbe, Corrupted Observer"
CMR,300,N,1,Box,44646,,CMR 1,Bladegriff Prototype
CMR,112,N,1,Box,44646,,CMR 1,Cast Down
CMR,303,N,3,Box,44646,,CMR 1,Charcoal Diamond
CMR,170,N,1,Box,44646,,CMR 1,Court of Ire
CMR,222,N,1,Box,44646,,CMR 1,Dawnglade Regent
CMR,175,N,1,Box,44646,,CMR 1,Emberwilde Captain
CMR,67,N,1,Box,44646,,CMR 1,"Esior, Wardwing Familiar"
CMR,225,N,1,Box,44646,,CMR 1,Farhaven Elf
CMR,309,N,2,Box,44646,,CMR 1,Fire Diamond
