Decks,Commander,Partner,Deck Representative(s),Color,Deck Type,Initially Built,Deck Description,Combos,Tutors,Bracket,Interaction,Played Games,Wins,Losses,Win %,Win Condition 1,Win Condition 2,Win Condition 3,Strength 1,Strength 2,Strength 3,Weakness 1,Weakness 2,Weakness 3
"Raktres, Lord of Discounts","Rakdos, Lord of Riots",,"Rakdos, Lord of Riots",RB,Commander,44533,Big Mana Group Slug,No,On Creature,2,2,3,2,1,0.666666667,Big Bois: Big Mana Threats Cheated in from Rakdos,Group Slug: Damage Everyone Spells + Pingers,Half Doubled: Hidetsugu + Damage Doubler + Platinum Angel,Only need a few large bodies to take control of the game.,Enablers for Rakdos also serve as an alternative win condition by putting pressure on life totals.,Damage based card draw sources keep hand full of gas to fill board with Rakdos reduction.,There is a heavy reliance on Rakdos to play large impact creatures due to their high CMC.,"The ""life lost"" casting requirement for Rakdos can make him difficult to cast consistently.","Overextending and emptying your hand is easy to do, making board wipes or draw prevention painful."
Marchesa Thatcher,Queen Marchesa,,Queen Marchesa,RWB,Commander,44619,Politics Porcupine,No,No,3,4,2,1,1,0.5,Pillow Fort: Courts + Combat Taxes + Board Wipes,Goading & Bribery: Forced Combat & Political Incentives,Akaido: Combat Tricks & Fogs for Large Blowouts,Only requires a few permanents to shut down most combat damage and slow the game down.,"Political mechanics like goad and monarchy allow for board manipulation, as well as conditional protection and value.",Versatile instant speed interactions that can swing the game in your favor.,Dependant on mana rocks for most of the ramp package makes it vulnerable to artifact hate.,Easy to become archenemy once pillow fort and value engines are up.,"Win conditions can be slow, leaving time for opponents to regain the upper hand."
Prosper's Payday Loans,"Prosper, Tome-Bound",,"Prosper, Tome-Bound",RB,Commander,44619,Steal Through Exile & Treasures,No,No,3,3,3,1,2,0.333333333,Ping the Table: Artifact/Token Pingers + Treasures,Gold Hoard: Revel in Riches + Lots of Treasure,Stolen Spells: Cheat & Duplicate Stolen Exiled Spells,Exile/steal synergies help give card advantage while also having value payoffs.,Artifact/token/exile damage gets around clogged boards.,Treasures make up for Rakdos colors' weaker ramp options.,Much slower if Prosper is shutdown since he's the primary value engine.,Low power/non-combat focused creatures can struggle against focused attack from aggro/voltron.,Impulse draw/stolen cards can lead to exiling a valuable but unplayable card.
"Miara and Kamahl, Murder Hippies","Miara, Thorn of the Glade","Kamahl, Heart of Krosa","Miara, Thorn of the Glade & Kamahl, Heart of Krosa",GB,Commander,44660,Golgari Elfball,No,Land Ramp,2,2,0,0,0,0,Craterhoof Elf Ball: Kamahl + Elf Army,Drain the Table: Lathril + Elf Army + Copperhorn Scout (optional),Ping the Table: Pingers + Elf Army + Sac Outlet or Board Wipe,"Elf synergies, Miara draw on deaths, and token generation keeps up elfball tempo.",Kahmal makes the overrun win condition easily accessible.,No artifacts in the deck allows for one-sided artifact hate.,Low budget of the deck means weaker/overcosted effects and an overall lower power.,Kamahl in the command zone telegraphs main win condition.,Reliance on critical mass of elves struggles with control and board wipe strategies.
"Vilis, Blood ATM","Vilis, Broker of Blood",,"Vilis, Broker of Blood",B,Commander,44701,Card Draw & Life Manipulation,"Bolas/Aetherflux, Krrik/Celebrant, Scourge/Vilis",No,3,3,1,0,1,0,Life Swap Shennanigans: Health Payment + Repay in Kind,Life Drain: Peer Into Abyss + Skirge + Exsanguinate,Health Storm Bomb: Bolas's Citadel and K'rrik + Blood Celebrant + Aetherflux Reservoir,Card draw is easy to pull off even without Vilis.,Life gain/loss manipulation and big swing spells gets around crowded board states.,Mana doublers and life payment allow for multi spell turns.,Flatter curve can lead to clunky hands.,"8 CMC commander is hard to cast, and is a target for removal given the cost and value potential.",Lifegain strategy in mono-black is weaker compared to a deck with white.
"Wulfgar, the Pain-Harmonicon",Wulfgar of Icewind Dale,,Wulfgar of Icewind Dale,GR,Commander,44780,All Creatures Attack,Hellkite Charger + Ventmaw + Wulfgar,Land Ramp,2,2,2,0,2,0,Craterhoof Goat Swing: Ibex / Bogbeast + Any creatures + Wulfgar (optional),Burn the Table: On Attack Burn All Players,Commander Damage: Wulfgar + Two-Handed Axe (Minimum 24 damage on attack),Almost all creatures and permanents have on attack triggers to maximize value.,"Large creatures, token generators, pump effects, trample and haste helps overrun boards.",Extra combat synergies with multiple on attack triggers.,High CMC creatures can be difficult to cast if missing ramp or cheat effects.,Less removal can lead to opponents running away with game or shutting down strategy.,"The ""on attack"" tribal strategy requires putting creatures in danger and leaving you open to crackbacks."
"Nalia, Bring your +1 to the Party",Nalia de'Arnise,,Nalia de'Arnise,WB,Commander,44787,Party Tribal & +1 Counters,No,Yes,3,2,2,0,2,0,One Sided Board Wipe: Stick Together & Damning Verdict,+1 Overrun: Cathar's Crusade + Tokens,Pump the Board: +X/+X effects,Synergies with +1/+1 counters can lead to snowballing effects.,Nalia can play all creatures off the top of the deck.,Low CMC creatures and token generators helps fill party quickly.,"Reliant on combat damage, so is weaker to pillow fort and stax strategies.","Party mechanic has subpar payoffs, heavy creature investment, and limited synergies in Orzhov.","This is a budget, upgraded precon."
"Gisa, Zombie Gardener",Ghoulcaller Gisa,,Ghoulcaller Gisa,B,Commander,45732,Zombie Army Combo,"Nim + Ashnod, Mikaeus + -1/-1s",Yes,3,2,0,0,0,0,Zombie Apocalypse: Gisa + Cheap Fatties + Zombie Lords & Tribal Anthems,Drain the Table: Pingers + Zombie tokens entering and leaving,Rise from the Graves: Mass Recursion + Full Graveyard,Zombie synergy and Gisa's ability can fill the board with zombies quickly.,Zombie enter/death triggers can deal damage to the table without relying on a big swing.,Several conditional tutors that can find combo pieces to close out games.,Mono-black zombies misses strong tribal support from dimir and esper colors.,"Gisa is slow (5 to cast, 1 + tap to activate, creature to sac) and not a zombie.",Graveyard hate can disrupt synergies with reanimation effects.
Vaevictis's Slot Machines,"Vaevictis Asmadi, the Dire",,"Vaevictis Asmadi, the Dire",GRB,Commander,45194,All Permanents Value Pile,No,Land Ramp,2,2,0,0,0,0,Fatties Swing: Cheat Big Creatures + Haste/Double Strike,Permanent Sacrifice Ping: Mayhem Devil and Stalking Vengeance,No Permanents 4 U: Vaevictus Targeted Sacrifice,Vaevictis is powerful spot removal on a stick.,All permanent focus means that you never a miss on commander's flip ability.,Redundant cheating permanents effects if commander is shut down.,"All permanents constraint leads to limited, sub-optimal ramp, card draw and interaction.",High CMC creatures leads to clunky hands if cheat effects are shutdown.,Higher cost commander that will attract removal.
"Tuvasa, Prequel to Threevasa",Tuvasa the Sunlit,,Tuvasa the Sunlit,GUW,Commander,44922,Enchantment Auras & Stax,No,Enchantment Only,3,4,0,0,0,0,Commander Damage: Tuvasa + Auras,Go Wide Value: Token Generators off of Enchantments Entering / Casts,Secret Commander: Bruna Cheating Auras,"Synergies with enchantments give card draw, token generation, life gain and cost reduction.","Hidden commander, recusrion and draw engines make up for aura weaknesses.",No artifacts in the deck allows for one-sided artifact hate and stax.,Enchantment hate will hit almost all permanents.,Minimal instant speed interaction makes answering threats slower.,Auras stacked on a single creature can lead to large blowouts from spot removal.
