Theme,"Raktres, Lord of Discounts",Marchesa Thatcher,Prosper's Payday Loans,"Miara and Kamahl, Murder Hippies","Vilis, Blood ATM","Wulfgar, the Pain-Harmonicon","Nalia, Bring your +1 to the Party","Gisa, Zombie Gardener",Vaevictis's Slot Machines,"Tuvasa, Prequel to Threevasa","Vohar, Terrible Lifeguard",A Refined Grizzly of Noble Heritage,Syr Gwyn Knights Voltron (Joe G),Mayael Angels (Joe G),Averna Cascade (Joe G),"Nethroi, Apex of Death (Joe G)","Eloise, Nephalia Sleuth (Joe G)",The Admiral (Anthony),"Orvar, the All-Form (Anthony)",Big Dinos (Anthony),Yuriko's Ninja Slugfest (Joe M),Cats and Dogs (Joe M)
+1/+1 Counters,,,,,,,M,,,,,M,,,,S,,,,,,
-1/-1 Counters,,,,,,,,,,,,,,,,,,,,,,
Aristocrats,,S,,,,,,S,,,,,,,,,S,,,,,
Artifacts,,,M,,,,,,,,,,,,,,,,,,,
Auras,,,,,,,,,,M,,,,,,,,,,,,
Big Mana,,,,,S,,,,,,,,,M,S,,,,,,,
Burn,,,,,,,,,,,,,,,,,,,,,,
Cantrips,,,,,,,,,,,,,,,,,,,,,,
Card Draw,,,,,M,,,,,,,,,,,,,,,,,
Cascade,,,,,,,,,,,,,,,M,,,,,,,
Chaos,,,S,,,,,,M,,,,,,,,,,,,,
Clones,,,,,,,,,,,,,,,,,,,M,,,
Clues,,,,,,,,,,,,,,,,,M,,,,,
Counterspells,,,,,,,,,,,,,,,,,,,,,,
Curses,,,,,,,,,,,,,,,,,,,,,,
Cycling,,,,,,,,,,,,,,,,,,,,,,
Deathtouch,,,,,,,,,,,,,,,,,,,,,,
Discard,,,,,,,,,,,M,,,,,,,,,,,
Dredge,,,,,,,,,,,,,,,,,,,,,,
Enchantments,,,,,,,,,,M,,,,,,,,,,,,
Equipment,,,,,,,,,,,,,M,,,,,,,,,
Exile,,,M,,,,,,,,,,,,,,,,,,,
Extra Combat,,,,,,S,,,,,,,,,,,,,,,,
Extra Turns,,,,,,,,,,,,,,,,,,,,,,
Fight,,,,,,,,,,,,,,,,,,,,,,
Flash,,,,,,,,,,,,,,,,,,,,,,
Flicker,,,,,,,,,,,,,,,,,,,,,,
Flying,,,,,,,,,,,,,,,,,,,,,,
Forced Combat,,S,,,,,,,,,,,,,,,,,,,,
Foretell,,,,,,,,,,,,,,,,,,,,,,
Graveyard,,,,,,,,,,,M,,,,,M,,,,,,
Group Hug,,,,,,,,,,,,,,,,,,,,,,
Group Slug,M,,,,,,,,,,,,,,,,,,,,M,
Infect,,,,,,,,,,,,,,,,,,,,,,
Keywords,,,,,,,,,,,,,,,,,,,,,,
Kindred,,,,M,,,S,M,,,,,S,M,,,,M,,M,S,M
Land Destruction,,,,,,,,,,,,,,,,,,,,,,
Landfall,,,,,,,,,,,,,,,M,,,,,,,
Lands Matter,,,,,,,,,,,,,,,S,,,,,,,
Legends,,,,,,,,,,,,,,,,,,,,,,
Lifegain,,,,,M,,,,,,,,,,,,,,,,,
Madness,,,,,,,,,,,,,,,,,,,,,,
Mill,,,,,,,,,,,,,,,,,,,,,,
Monarch,,M,,,,,,,,,,,,,,,,,,,,
Mutate,,,,,,,,,,,,,,,,M,,,,,,
Ninjutsu,,,,,,,,,,,,,,,,,,,,,M,
On Attack,,,,,,M,,,,,,,,,,,,,,,,
Party,,,,,,,M,,,,,,,,,,,,,,,
Pillow Fort,,M,,,,,,,,,,,,,,,,,,,,
Planeswalkers,,,,,,,,,,,,,,,,,,,,,,
Politics,,M,,,,,,,,,,S,,,,,,,,,,
Power,,,,,,,,,,,,,,,,,,,,,,
Reanimator,,,,,,,,S,,,M,,,,,M,S,,,,,
Sacrifice,,,,S,,,,M,S,,,,,,,,M,,,,,
Sagas,,,,,,,,,,,,,,,,,,,,,,
Self-Mill,,,,,,,,,,,S,,,,,,,,,,,
Spell Copy,,,,,,,,,,,,,,,,,,,,,,
Spellslinger,,,,,,,,,,,,,,,,,,,M,,,
Stax,,S,,,,,,,,S,,,,,,,,,,,,
Storm,,,,,,,,,,,,,,,,,,,,,,
Theft,,,S,,,,,,,,,,,,,,,S,,,,
Tokens,,,,M,,,,M,,S,,,,,,,M,,S,,,M
Topdeck,,,,,,,,,M,,,,,,,,,,,,M,
Toughness,,,,,,,,,,,,,,,,,,,,,,
Treasure,,,M,,,,,,,,,,,,,,,M,,,,
Vehicles,,,,,,,,,,,,,,,,,,,,,,
Venture,,,,,,,,,,,,,,,,,,,,,,
Voltron,,,,,,,,,,M,,M,M,,,,,,,,,
Wheels,,,,,,,,,,,,,,,,,,,,,,
X Spells,,,,,,,,,,,,,,,,,,,,,,
