Card,Deck,Custom Tags,Card Count
Angrath's Marauders,"Raktres, Lord of Discounts",Rakdos Target,1
Arcane Signet,"Raktres, Lord of Discounts",Ramp,1
Archon of Cruelty,"Raktres, Lord of Discounts",Rakdos Target,1
Artisan of Kozilek,"Raktres, Lord of Discounts",Rakdos Target,1
Bojuka Bog,"Raktres, Lord of Discounts",Utility,1
Bolt Bend,"Raktres, Lord of Discounts",Protection,1
Canyon Slough,"Raktres, Lord of Discounts",,1
Chaos Warp,"Raktres, Lord of Discounts",Removal,1
Combustible Gearhulk,"Raktres, Lord of Discounts",Card Adv,1
Command Tower,"Raktres, Lord of Discounts",,1
Credit Voucher,"Raktres, Lord of Discounts",Utility,1
Creeping Bloodsucker,"Raktres, Lord of Discounts",Pinger,1
Cryptolith Fragment // Aurora of Emrakul,"Raktres, Lord of Discounts",Pinger,1
Deathbringer Regent,"Raktres, Lord of Discounts",Removal,1
Demonlord Belzenlok,"Raktres, Lord of Discounts",Card Adv,1
Descent into Avernus,"Raktres, Lord of Discounts",Pinger,1
Disciple of Bolas,"Raktres, Lord of Discounts",Card Adv,1
Dragonskull Summit,"Raktres, Lord of Discounts",,1
Dread Cacodemon,"Raktres, Lord of Discounts",Removal,1
Elder Brain,"Raktres, Lord of Discounts",Rakdos Target,1
Exocrine,"Raktres, Lord of Discounts",Big Damage,1
Fiendish Duo,"Raktres, Lord of Discounts",Big Damage,1
Fiery Confluence,"Raktres, Lord of Discounts",Interaction,1
Fireglass Mentor,"Raktres, Lord of Discounts",Card Adv,1
"Florian, Voldaren Scion","Raktres, Lord of Discounts",Card Adv,1
Foreboding Ruins,"Raktres, Lord of Discounts",,1
Graven Cairns,"Raktres, Lord of Discounts",,1
Heartless Hidetsugu,"Raktres, Lord of Discounts",Big Damage,1
Hideous Taskmaster,"Raktres, Lord of Discounts",Rakdos Target,1
Indulgent Tormentor,"Raktres, Lord of Discounts",Card Adv,1
Jagged Barrens,"Raktres, Lord of Discounts",Pinger,1
Kaervek the Merciless,"Raktres, Lord of Discounts",Interaction,1
Kazuul's Fury // Kazuul's Cliffs,"Raktres, Lord of Discounts",Interaction,1
Keen Duelist,"Raktres, Lord of Discounts",Card Adv,1
Knollspine Dragon,"Raktres, Lord of Discounts",Card Adv,1
Kolaghan's Command,"Raktres, Lord of Discounts",Interaction,1
Leechridden Swamp,"Raktres, Lord of Discounts",Utility,1
