Game Changers,Tag
Ad Nauseam,Combo
Food Chain,Combo
Grim Monolith,Combo
Lion's Eye Diamond,Combo
Mana Vault,Combo
Panoptic Mirror,Combo
Survival of the Fittest,Combo
Thassa's Oracle,Combo
Underworld Breach,Combo
"Urza, Lord High Artificer",Combo
Ancient Tomb,Mana
Chrome Mox,Mana
Gaea's Cradle,Mana
Mishra's Workshop ,Mana
Mox Diamond,Mana
Seedborn Muse,Mana
Serra's Sanctum,Mana
Biorhythm,Power
Bolas's Citadel,Power
Coalition Victory,Power
Cyclonic Rift,Power
Deflecting Swat,Power
Expropriate,Power
Fierce Guardianship,Power
Force of Will,Power
"Kinnan, Bonder Prodigy",Power
Teferi's Protection,Power
"Winota, Joiner of Forces",Power
"Yuriko, the Tiger's Shadow",Power
Aura Shards,Stax/Unfun
"Braids, Cabal Minion",Stax/Unfun
Drannith Magistrate,Stax/Unfun
Farewell,Stax/Unfun
Glacial Chasm,Stax/Unfun
Grand Arbiter Augustin IV,Stax/Unfun
Humility,Stax/Unfun
"Jin-Gitaxias, Core Augur",Stax/Unfun
"Narset, Parter of Veils",Stax/Unfun
Notion Thief,Stax/Unfun
Opposition Agent,Stax/Unfun
Orcish Bowmasters,Stax/Unfun
Sway of the Stars,Stax/Unfun
"Tergrid, God of Fright",Stax/Unfun
The Tabernacle at Pendrell Vale,Stax/Unfun
"Vorinclex, Voice of Hunger",Stax/Unfun
Crop Rotation,Tutor
Demonic Tutor,Tutor
Enlightened Tutor,Tutor
Gamble,Tutor
Gifts Ungiven,Tutor
Imperial Seal,Tutor
Intuition,Tutor
Mystical Tutor,Tutor
Natural Order,Tutor
Vampiric Tutor,Tutor
Worldly Tutor,Tutor
Consecrated Sphinx,Value
Field of the Dead,Value
Jeska's Will,Value
Necropotence,Value
Rhystic Study,Value
Smothering Tithe,Value
The One Ring,Value
