Date,My Deck,Person1,Person2,Person3,Winner,Wins,Note,All Decks
44485,"Aesi, Tyrant of Gyre Strait (Anthony)","Nethroi, Apex of Death (Joe G)","Lathril, Blade of the Elves (Anthony)","Breena, the Demagogue (Joe G)","Nethroi, Apex of Death (Joe G)",FALSE,,"Aesi, Tyrant of Gyre Strait (Anthony)Nethroi, Apex of Death (Joe G)Lathril, Blade of the Elves (Anthony)Breena, the Demagogue (Joe G)"
44485,"Lathril, Blade of the Elves (Anthony)",Syr Gwyn Knights Voltron (Joe G),"Aesi, Tyrant of Gyre Strait (Anthony)","Aesi, Tyrant of Gyre Strait (Anthony)","Lathril, Blade of the Elves (Anthony)",TRUE,Won on an Elvish Warmaster creating enough tokens for Lathril to drain last opponent.,"Lathril, Blade of the Elves (Anthony)Syr Gwyn Knights Voltron (Joe G)Aesi, Tyrant of Gyre Strait (Anthony)Aesi, Tyrant of Gyre Strait (Anthony)"
44505,Rakdos Showstopper,"Nethroi, Apex of Death (Joe G)","Osgir, the Reconstructor (Anthony)",Yuriko's Ninja Slugfest (Joe M),Yuriko's Ninja Slugfest (Joe M),FALSE,"Yuriko hit an in a couple of large hits off the top, and was able to drain most of the table before they could find an answer.","Rakdos ShowstopperNethroi, Apex of Death (Joe G)Osgir, the Reconstructor (Anthony)Yuriko's Ninja Slugfest (Joe M)"
44505,Rakdos Showstopper,"Breena, the Demagogue (Joe G)","Aesi, Tyrant of Gyre Strait (Anthony)","Osgir, the Reconstructor (Anthony)","Breena, the Demagogue (Joe G)",FALSE,Rakdos and Aesi knocked out early. Breena Inkshield created dozens of tokens after an alpha strike from Osgir value engine.,"Rakdos ShowstopperBreena, the Demagogue (Joe G)Aesi, Tyrant of Gyre Strait (Anthony)Osgir, the Reconstructor (Anthony)"
44541,Rakdos Showstopper,"Eloise, Nephalia Sleuth (Joe G)","Wilhelt, the Rotcleaver (Anthony)",Cats and Dogs (Joe M),Cats and Dogs (Joe M),FALSE,,"Rakdos ShowstopperEloise, Nephalia Sleuth (Joe G)Wilhelt, the Rotcleaver (Anthony)Cats and Dogs (Joe M)"
44549,"Raktres, Lord of Discounts",Syr Gwyn Knights Voltron (Joe G),"Osgir, the Reconstructor (Anthony)",Yuriko's Ninja Slugfest (Joe M),Syr Gwyn Knights Voltron (Joe G),FALSE,Yuriko knocked out of the game early after topping a In Garruk's Wake making them archenemy. Syr Gwyn knocked out Osgir on commander damage and Rakdos scooped since lifelink on Syr Gwyn gave them too much health to win before crackback next turn.,"Raktres, Lord of DiscountsSyr Gwyn Knights Voltron (Joe G)Osgir, the Reconstructor (Anthony)Yuriko's Ninja Slugfest (Joe M)"
44549,"Raktres, Lord of Discounts","Nethroi, Apex of Death (Joe G)","Wilhelt, the Rotcleaver (Anthony)",Cats and Dogs (Joe M),"Raktres, Lord of Discounts",TRUE,,"Raktres, Lord of DiscountsNethroi, Apex of Death (Joe G)Wilhelt, the Rotcleaver (Anthony)Cats and Dogs (Joe M)"
44569,"Vorevold, Sac Master",Syr Gwyn Knights Voltron (Joe G),"Orvar, the All-Form (Anthony)",Yuriko's Ninja Slugfest (Joe M),Syr Gwyn Knights Voltron (Joe G),FALSE,Syr Gwyn won after grinding out win with Khorvath Brightflame and Sylvia Brightspear after Gwyn was removed.,"Vorevold, Sac MasterSyr Gwyn Knights Voltron (Joe G)Orvar, the All-Form (Anthony)Yuriko's Ninja Slugfest (Joe M)"
44569,"Vorevold, Sac Master","Eloise, Nephalia Sleuth (Joe G)","Orvar, the All-Form (Anthony)",Cats and Dogs (Joe M),Cats and Dogs (Joe M),FALSE,"Eloise got token engine going but ran out of gas, Korevold was killed on sight twice. Rin and Seri had a slow start missing land drops, and their board state was left unchecked. Rin and Seri won after critical mass of cats and dogs.","Vorevold, Sac MasterEloise, Nephalia Sleuth (Joe G)Orvar, the All-Form (Anthony)Cats and Dogs (Joe M)"
44646,Marchesa Thatcher,Syr Gwyn Knights Voltron (Joe G),"Wilhelt, the Rotcleaver (Anthony)",Yuriko's Ninja Slugfest (Joe M),Marchesa Thatcher,TRUE,"Marchesa had turn 1 Sol Ring into Turn 2 Ghostly Prison, locking out most of early game combat against her even though archenemy of the table. Marchesa won using Inkshield crackback after large swing from Syr Gwyn.","Marchesa ThatcherSyr Gwyn Knights Voltron (Joe G)Wilhelt, the Rotcleaver (Anthony)Yuriko's Ninja Slugfest (Joe M)"
44646,Prosper's Payday Loans,Averna Cascade (Joe G),"Wilhelt, the Rotcleaver (Anthony)","Sakashima of a Thousand Faces // Vial Smasher, the Fierce (Joe M)",Averna Cascade (Joe G),FALSE,"Prosper exiled Marionette Master before she was castable, and Laelia was removed early. Prosper was killed first since viewed as largest threat. Averna cascaded into an Animar, and was able to get out large beaters including a Maelstrom Wanderer early, cleaning up the table.","Prosper's Payday LoansAverna Cascade (Joe G)Wilhelt, the Rotcleaver (Anthony)Sakashima of a Thousand Faces // Vial Smasher, the Fierce (Joe M)"
44646,Prosper's Payday Loans,Averna Cascade (Joe G),The Admiral (Anthony),"Sakashima of a Thousand Faces // Vial Smasher, the Fierce (Joe M)",Prosper's Payday Loans,TRUE,"Marionette Master had enough treasures to hold table hostage after killing Beckett Brass, was able to kill rest of the table after generatng a few more treasures.","Prosper's Payday LoansAverna Cascade (Joe G)The Admiral (Anthony)Sakashima of a Thousand Faces // Vial Smasher, the Fierce (Joe M)"
44647,"Vorevold, Sac Master",Averna Cascade (Joe G),"Wilhelt, the Rotcleaver (Anthony)",Cats and Dogs (Joe M),"Vorevold, Sac Master",TRUE,"Korevold spun wheels early on with sacrifice and creature tokens, draining the table using Zulaport.","Vorevold, Sac MasterAverna Cascade (Joe G)Wilhelt, the Rotcleaver (Anthony)Cats and Dogs (Joe M)"
44841,Marchesa Thatcher,Mayael Angels (Joe G),The Admiral (Anthony),Cats and Dogs (Joe M),Mayael Angels (Joe G),FALSE,"Beckett Brass early Vandalblast blew up early mana rocks for Marchesa, messing up color fixing. Marchesa got pillow fort later, but Mayael had seedborn muse loop into multiple big angels to win.",Marchesa ThatcherMayael Angels (Joe G)The Admiral (Anthony)Cats and Dogs (Joe M)
44841,"Vilis, Blood ATM",Mayael Angels (Joe G),Big Dinos (Anthony),"Veyran, Voice of Duality (Joe M)",Big Dinos (Anthony),FALSE,Vilis flooded early and didn't do much. Gishath filled the board after he was cast and won on combat damage.,"Vilis, Blood ATMMayael Angels (Joe G)Big Dinos (Anthony)Veyran, Voice of Duality (Joe M)"
44842,"Raktres, Lord of Discounts",Syr Gwyn Knights Voltron (Joe G),"Wilhelt, the Rotcleaver (Anthony)",Yuriko's Ninja Slugfest (Joe M),"Raktres, Lord of Discounts",TRUE,"Yuriko and Rakdos both drained table fast. Rakdos used earthquake to kill 2 players, and a Sign in Blood on last player (Wilhelt) with 2 life left. Rakdos won with 1 health.","Raktres, Lord of DiscountsSyr Gwyn Knights Voltron (Joe G)Wilhelt, the Rotcleaver (Anthony)Yuriko's Ninja Slugfest (Joe M)"
44842,"Wulfgar, the Pain-Harmonicon",Syr Gwyn Knights Voltron (Joe G),Big Dinos (Anthony),"Veyran, Voice of Duality (Joe M)",Syr Gwyn Knights Voltron (Joe G),FALSE,"Wulfgar became a big target with Krenko, and Veyran became target with Thousand Year Storm. Wulfgar misplayed by chaos warping storm, allowing Syr Gwyn on next turn to use Sunforger into Akroma's Will. Commander damage killed Wulfgar, and rest of table scooped with no answer and Gwyn at massive life total.","Wulfgar, the Pain-HarmoniconSyr Gwyn Knights Voltron (Joe G)Big Dinos (Anthony)Veyran, Voice of Duality (Joe M)"
44940,"Nalia, Bring your +1 to the Party",Averna Cascade (Joe G),"Wilhelt, the Rotcleaver (Anthony)",Cats and Dogs (Joe M),Cats and Dogs (Joe M),FALSE,Rin and Seri won on a Beastmaster Ascension and Akroma's Will alpha strike to kill everyone.,"Nalia, Bring your +1 to the PartyAverna Cascade (Joe G)Wilhelt, the Rotcleaver (Anthony)Cats and Dogs (Joe M)"
44941,"Wulfgar, the Pain-Harmonicon",Mayael Angels (Joe G),Big Dinos (Anthony),Yuriko's Ninja Slugfest (Joe M),Big Dinos (Anthony),FALSE,"Gishath won on a perfectly timed Naya Charm to tap down all of Wulfgar's creatures after Wulfgar and Hanweir killed Mayael and Yuriko the previous turn. He was able to attack with Gishath and Etali unblocked, latter of which had been bounced back to hand 3 times in the game.","Wulfgar, the Pain-HarmoniconMayael Angels (Joe G)Big Dinos (Anthony)Yuriko's Ninja Slugfest (Joe M)"
45213,Prosper's Payday Loans,Mayael Angels (Joe G),Averna Cascade (Joe G),"Veyran, Voice of Duality (Joe M)",Averna Cascade (Joe G),FALSE,"Veyran got Aria of Flame out early and got everyone down to about 15-20 health but ran out of gas and started to topdeck. Prosper (and Veyran) reset the board with a triple copy of Delayed Blast Fireball. Veyran died on a Valakut exile of Fevered Suspicions, and Averna won on a Moraug extra combat.","Prosper's Payday LoansMayael Angels (Joe G)Averna Cascade (Joe G)Veyran, Voice of Duality (Joe M)"
45599,"Nalia, Bring your +1 to the Party",Mayael Angels (Joe G),The Admiral (Anthony),Cats and Dogs (Joe M),Cats and Dogs (Joe M),FALSE,"Mayael came out strong with some big angel beaters including Anya, Gisella and Battle Angels of Tyr. Exiling his angels led to him committing resources to free them, he was then left in topdeck mode. Rin and Seri ran away with the game once they played Marisi and Titanic Ultimatum. Nalia came back shortly and almost won with an encored Angel of Indemnity, but Ren and Seri had exactly enough to crack back to knock out both Mayael and Nalia at the end.","Nalia, Bring your +1 to the PartyMayael Angels (Joe G)The Admiral (Anthony)Cats and Dogs (Joe M)"
