Optimized Mana,Tag
Carpet of Flowers,CoF
Dockside Extortionist,DE
Badlands,Dual
Bayou,Dual
Plateau,Dual
Savannah,Dual
Scrubland,Dual
Taiga,Dual
Tropical Island,Dual
Tundra,Dual
Underground Sea,Dual
Volcanic Island,Dual
Ancient Tomb,Fast
Black Lotus,Fast
City of Traitors,Fast
Grim Monolith,Fast
Jeweled Lotus,Fast
Lion's Eye Diamond,Fast
Lotus Petal,Fast
Mana Crypt,Fast
Mana Vault,Fast
Mishra's Workshop,Fast
Sol Ring,Fast
Arid Mesa,Fetch
Marsh Flats,Fetch
Misty Rainforest,Fetch
Scalding Tarn,Fetch
Verdant Catacombs,Fetch
Birds of Paradise,Mana Dork
Bubbling Muck,Mana Doubler
Cabal Coffers,Mana Doubler
Cabal Stronghold,Mana Doubler
Gauntlet of Power,Mana Doubler
High Tide,Mana Doubler
Magus of the Coffers,Mana Doubler
Mirari's Wake,Mana Doubler
Nirkana Revenant,Mana Doubler
Mana Drain,MD
Emerald Medallion,Medallion
Jet Medallion,Medallion
Pearl Medallion,Medallion
Ruby Medallion,Medallion
Sapphire Medallion,Medallion
Chrome Mox,Moxen
Mox Amber,Moxen
Mox Diamond,Moxen
Mox Emerald,Moxen
Mox Jet,Moxen
Mox Opal,Moxen
Mox Pearl,Moxen
Mox Ruby,Moxen
Mox Sapphire,Moxen
"Nykthos, Shrine to Nyx",NSN
Burgeoning,Ramp
Exploration,Ramp
Farseek,Ramp
Gemstone Caverns,Ramp
Land Tax,Ramp
Nature's Lore,Ramp
Three Visits,Ramp
Braid of Fire,Ritual
Cabal Ritual,Ritual
Culling Ritual,Ritual
Dark Ritual,Ritual
Desperate Ritual,Ritual
Energy Tap,Ritual
Mana Geyser,Ritual
Pyretic Ritual,Ritual
Rite of Flame,Ritual
Seething Song,Ritual
Treasonous Ogre,Ritual
Ashnod's Altar,Sac
Phyrexian Altar,Sac
Skirk Prospector,Sac
Blood Crypt,Shockland
Breeding Pool,Shockland
Godless Shrine,Shockland
Hallowed Fountain,Shockland
Overgrown Tomb,Shockland
Sacred Foundry,Shockland
Steam Vents,Shockland
Stomping Ground,Shockland
Temple Garden,Shockland
Watery Grave,Shockland
Smothering Tithe,ST
Gaea's Cradle,Urza's Saga
Phyrexian Tower,Urza's Saga
Serra's Sanctum,Urza's Saga
Tolarian Academy,Urza's Saga
