Card,Deck,Review,Replace,Notes
Bladegriff Prototype,"Raktres, Lord of Discounts",,,
Blazemire Verge,"Raktres, Lord of Discounts",,,
Blood Crypt,"Raktres, Lord of Discounts",,,
Cityscape Leveler,"Raktres, Lord of Discounts",,,
Frenzied Saddlebrute,"Raktres, Lord of Discounts",,,
Pandemonium,"Raktres, Lord of Discounts",,,
"Rakdos, the Showstopper","Raktres, Lord of Discounts",,,
Terror of the Peaks,"Raktres, Lord of Discounts",,,
Valakut Awakening // Valakut Stoneforge,"Raktres, Lord of Discounts",,credit voucher,
Archaeomancer's Map,Marchesa Thatcher,,,
Blood Crypt,Marchesa Thatcher,,,
Dalkovan Encampment,Marchesa Thatcher,,,
Elegant Parlor,Marchesa Thatcher,,,
Galadriel's Dismissal,Marchesa Thatcher,,,
"Kambal, Profiteering Mayor",Marchesa Thatcher,x,royal assassin,
Make an Example,Marchesa Thatcher,,,
Mandate of Peace,Marchesa Thatcher,,?,
Oubliette,Marchesa Thatcher,,,
Raucous Theater,Marchesa Thatcher,,,
Reprieve,Marchesa Thatcher,,?,
Sacred Foundry,Marchesa Thatcher,,,
Savai Triome,Marchesa Thatcher,,,
Sevinne's Reclamation,Marchesa Thatcher,,,goes well if deck has more fetchlands
Shadowy Backstreet,Marchesa Thatcher,,,
Shadrix Silverquill,Marchesa Thatcher,x,marchesa decree,
Silent Clearing,Marchesa Thatcher,x,temple,
Sulfurous Springs,Marchesa Thatcher,x,temple of malice,
Sunbaked Canyon,Marchesa Thatcher,x,temple,
Take the Bait,Marchesa Thatcher,,,
Talisman of Indulgence,Marchesa Thatcher,,,
The Lord of Pain,Marchesa Thatcher,,,
Turbulent Moor,Marchesa Thatcher,,,
Turbulent Steppe,Marchesa Thatcher,,,
Wear // Tear,Marchesa Thatcher,x,ornithopter of paradise,
Winds of Abandon,Marchesa Thatcher,,,
Blazemire Verge,Prosper's Payday Loans,,,
Blood Crypt,Prosper's Payday Loans,,,
Embrace the Unknown,Prosper's Payday Loans,,,
Ingenious Artillerist,Prosper's Payday Loans,,,
Kheru Mind-Eater,Prosper's Payday Loans,,,
Laughing Jasper Flint,Prosper's Payday Loans,,,
Marionette Apprentice,Prosper's Payday Loans,,,
Mind Stone,Prosper's Payday Loans,,,
Raucous Theater,Prosper's Payday Loans,,,
"Shinka, the Bloodsoaked Keep",Prosper's Payday Loans,,,deathtouch + first strike
Wrenn's Resolve,Prosper's Payday Loans,,,
Cantankerous Keepers,"Miara and Kamahl, Murder Hippies",x,?,
Elvish Regrower,"Miara and Kamahl, Murder Hippies",,,
"Ezuri, Renegade Leader","Miara and Kamahl, Murder Hippies",,,
Galadhrim Ambush,"Miara and Kamahl, Murder Hippies",,,
Glissa Sunslayer,"Miara and Kamahl, Murder Hippies",,,
Heritage Druid,"Miara and Kamahl, Murder Hippies",,,
"Imaryll, Elfhame Elite","Miara and Kamahl, Murder Hippies",,,
Joraga Warcaller,"Miara and Kamahl, Murder Hippies",,,
Leaf-Crowned Visionary,"Miara and Kamahl, Murder Hippies",,,
Return Upon the Tide,"Miara and Kamahl, Murder Hippies",,,
Turbulent Fen,"Miara and Kamahl, Murder Hippies",,,
Tyvar the Bellicose,"Miara and Kamahl, Murder Hippies",,,
Wellwisher,"Miara and Kamahl, Murder Hippies",,,
Wirewood Channeler,"Miara and Kamahl, Murder Hippies",,,
Wirewood Lodge,"Miara and Kamahl, Murder Hippies",,,
Blessing of Leeches,"Vilis, Blood ATM",,,
Cabal Stronghold,"Vilis, Blood ATM",,,
Defiling Daemogoth,"Vilis, Blood ATM",,,
Demolition Field,"Vilis, Blood ATM",,swamp,
Enduring Tenacity,"Vilis, Blood ATM",,,
Insatiable Avarice,"Vilis, Blood ATM",,,
Liliana of the Dark Realms,"Vilis, Blood ATM",,,
March of Wretched Sorrow,"Vilis, Blood ATM",,,
Mutilate,"Vilis, Blood ATM",x,death cloud,
Nyx Lotus,"Vilis, Blood ATM",,?,
Preacher of the Schism,"Vilis, Blood ATM",,,
Profane Transfusion,"Vilis, Blood ATM",,,
Sanguimancy,"Vilis, Blood ATM",,,
Scheming Silvertongue // Sign in Blood,"Vilis, Blood ATM",x,,
Sickening Dreams,"Vilis, Blood ATM",,,
Snuff Out,"Vilis, Blood ATM",,,reprinted recently
The Black Gate,"Vilis, Blood ATM",,,
Unholy Annex // Ritual Chamber,"Vilis, Blood ATM",,,
Unspeakable Symbol,"Vilis, Blood ATM",,,
"Urborg, Tomb of Yawgmoth","Vilis, Blood ATM",,,
Vampiric Link,"Vilis, Blood ATM",,,
Witch's Clinic,"Vilis, Blood ATM",,,
Withering Curse,"Vilis, Blood ATM",,,
Elturel Survivors,"Wulfgar, the Pain-Harmonicon",,,
Fire-Lit Thicket,"Wulfgar, the Pain-Harmonicon",,,
Goblin War Drums,"Wulfgar, the Pain-Harmonicon",,,
Goldspan Dragon,"Wulfgar, the Pain-Harmonicon",,,
Hans Eriksson,"Wulfgar, the Pain-Harmonicon",,see the unwritten,
"Klauth, Unrivaled Ancient","Wulfgar, the Pain-Harmonicon",,,proxy
Mage Slayer,"Wulfgar, the Pain-Harmonicon",,,
Savage Beating,"Wulfgar, the Pain-Harmonicon",,,
Thornspire Verge,"Wulfgar, the Pain-Harmonicon",,basic,
Yavimaya Hollow,"Wulfgar, the Pain-Harmonicon",,,proxy
Adept Watershaper,"Nalia, Bring your +1 to the Party",,,
Astarion's Thirst,"Nalia, Bring your +1 to the Party",,banisher priest,
Bleachbone Verge,"Nalia, Bring your +1 to the Party",,,
Cathars' Crusade,"Nalia, Bring your +1 to the Party",,metastatic,
Cauldron of Souls,"Nalia, Bring your +1 to the Party",,golgari thug,
Cunning Lethemancer,"Nalia, Bring your +1 to the Party",,,
Glowrider,"Nalia, Bring your +1 to the Party",,,
Godless Shrine,"Nalia, Bring your +1 to the Party",,,
Golgari Thug,"Nalia, Bring your +1 to the Party",x,caudlron of souls,
Leonin Arbiter,"Nalia, Bring your +1 to the Party",,,
Metastatic Evangel,"Nalia, Bring your +1 to the Party",x,cathar's crsuade,
Requisition Raid,"Nalia, Bring your +1 to the Party",,,
Shadowy Backstreet,"Nalia, Bring your +1 to the Party",,,
Shattered Sanctum,"Nalia, Bring your +1 to the Party",x,basic,
Smogsteed Rider,"Nalia, Bring your +1 to the Party",,,
Thwart the Grave,"Nalia, Bring your +1 to the Party",,,
Turbulent Moor,"Nalia, Bring your +1 to the Party",,,
Umbral Collar Zealot,"Nalia, Bring your +1 to the Party",,,
Viscera Seer,"Nalia, Bring your +1 to the Party",,,
Volrath's Stronghold,"Nalia, Bring your +1 to the Party",,,proxy
Afterlife from the Loam,"Gisa, Zombie Gardener",,?,
Bitter Ordeal,"Gisa, Zombie Gardener",,,can be win condition on infinite mill
Cemetery Reaper,"Gisa, Zombie Gardener",,,
Gathering Stone,"Gisa, Zombie Gardener",,,
"Liliana, Untouched by Death","Gisa, Zombie Gardener",,,shambling with liliana combo
Lord of the Undead,"Gisa, Zombie Gardener",,,
Necrotic Hex,"Gisa, Zombie Gardener",,,
Ominous Harvest,"Gisa, Zombie Gardener",,?,
Oversold Cemetery,"Gisa, Zombie Gardener",,,
Phyrexian Altar,"Gisa, Zombie Gardener",,,
Phyrexian Tower,"Gisa, Zombie Gardener",,,
Rise of the Dread Marn,"Gisa, Zombie Gardener",,,
Rot Hulk,"Gisa, Zombie Gardener",,,
Shambling Ghast,"Gisa, Zombie Gardener",,,shambling with liliana combo
Three Tree City,"Gisa, Zombie Gardener",,,
Tragic Slip,"Gisa, Zombie Gardener",,,
Undead Warchief,"Gisa, Zombie Gardener",,,
Warren Soultrader,"Gisa, Zombie Gardener",,,
Aid from the Cowl,Vaevictis's Slot Machines,,,
"Braids, Arisen Nightmare",Vaevictis's Slot Machines,x,guardian augmenter,
Colossal Grave-Reaver,Vaevictis's Slot Machines,,,
Commercial District,Vaevictis's Slot Machines,,,
Grim Feast,Vaevictis's Slot Machines,,,
Hellkite Courser,Vaevictis's Slot Machines,,,
Hopeless Nightmare,Vaevictis's Slot Machines,,,
Horizon Explorer,Vaevictis's Slot Machines,x,thunderscape,
Merchant of Venom,Vaevictis's Slot Machines,,?,
Nowhere to Run,Vaevictis's Slot Machines,,,
"Ob Nixilis, Unshackled",Vaevictis's Slot Machines,x,ruin grinder,
Raucous Theater,Vaevictis's Slot Machines,,,
Rhythm of the Wild,Vaevictis's Slot Machines,x,rivetters ascendary,
Rottenmouth Viper,Vaevictis's Slot Machines,,,
Spinner of Souls,Vaevictis's Slot Machines,x,deathreap ritaul,
Turbulent Fen,Vaevictis's Slot Machines,,,
Undercellar Myconid,Vaevictis's Slot Machines,,,
Underground Mortuary,Vaevictis's Slot Machines,,,
Vaultborn Tyrant,Vaevictis's Slot Machines,,,too expensive
Vernal Fen,Vaevictis's Slot Machines,x,savage lands,
"Wasitora, Nekoru Queen",Vaevictis's Slot Machines,,,
Wurmcoil Engine,Vaevictis's Slot Machines,,,
"Xira, the Golden Sting",Vaevictis's Slot Machines,,,
"Ziatora, the Incinerator",Vaevictis's Slot Machines,x,avataar of slaughter,
